,Área,Vaga,Nível,Contrato,Salário Base,Salário Máximo
128,Full-stack,Desenvolvedor(a) Full-stack sênior C# - Nível 1,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.000,00 "," 8.000,00"
129,Full-stack,Desenvolvedor(a) Full-stack pleno C# - Nível 1,Junior - Pleno(2 a 4 anos de experiência),CLT," 3.500,00 "," 5.500,00"
130,Full-stack,Desenvolvedor(a) Java,Junior - Pleno(2 a 4 anos de experiência),CLT," 10.000,00 "," 10.000,00"
131,Front-end,Desenvolvedor(a) Front-end React (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 5.200,00 "," 7.200,00"
132,Full-stack,Tech Lead (remoto),Senior(Mais de 6 anos de experiência),CLT," 15.000,00 "," 17.000,00"
133,Front-end,Desenvolvedor(a) Front-end React,Pleno - Senior(4 a 6 anos de experiência),,,
134,Front-end,Desenvolvedor(a) Front-end pleno React,Junior - Pleno(2 a 4 anos de experiência),,,
135,Full-stack,Analista de Sistemas,Pleno - Senior(4 a 6 anos de experiência),,,
136,Back-end,Desenvolvedor(a) Back-end Java júnior (remoto),Junior(0 a 2 anos de experiência),CLT," 4.500,00 "," 6.500,00"
137,Back-end,Desenvolvedor(a) Back-end Java pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.100,00 "," 9.000,00"
138,Mobile,Desenvolvedor(a) Mobile Kotlin (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
139,Full-stack,Desenvolvedor(a) SAP,Junior - Pleno(2 a 4 anos de experiência),CLT," 10.700,00 "," 12.700,00"
140,Back-end,Desenvolvedor(a) Java sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 12.000,00 "," 14.000,00"
141,Full-stack,Desenvolvedor(a) Full-stack .NET Core,Pleno - Senior(4 a 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
142,Front-end,Desenvolvedor(a) Front-end AngularJS (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
143,Back-end,Desenvolvedor(a) Back-end Java sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 11.300,00 "," 12.000,00"
144,Full-stack,Líder Técnico,Junior - Pleno(2 a 4 anos de experiência),CLT," 8.500,00 "," 10.500,00"
145,Full-stack,Desenvolvedor(a) C# Full-stack (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 8.000,00 "," 10.000,00"
146,Back-end,Senior Engineering Manager - Data Engineering,Pleno - Senior(4 a 6 anos de experiência),,,
147,Data Science,Engenheiro(a) de Dados (remoto) SQL pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 11.500,00 "," 13.500,00"
148,Back-end,Desenvolvedor(a) Back-end sênior JAVA EE (remoto),Senior(Mais de 6 anos de experiência),CLT," 6.000,00 "," 8.000,00"
149,Full-stack,Desenvolvedor(a) Full-stack Java,Pleno - Senior(4 a 6 anos de experiência),CLT," 8.500,00 "," 10.500,00"
150,Back-end,Desenvolvedor(a) Back-end .NET,Pleno - Senior(4 a 6 anos de experiência),,,
151,Front-end,Desenvolvedor(a) Front-end JavaScript,Pleno - Senior(4 a 6 anos de experiência),,,
152,Data Science,Engenheiro(a) de Dados Data science (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
153,Front-end,Desenvolvedor(a) Front-end React (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 5.000,00 "," 7.000,00"
154,Full-stack,Desenvolvedor(a) Full-stack .NET (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 7.500,00 "," 9.500,00"
155,Full-stack,Desenvolvedor(a) Full-stack sênior (remoto),Senior(Mais de 6 anos de experiência),,,
156,Back-end,Desenvolvedor(a) PHP pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 8.000,00 "," 10.000,00"
157,Full-stack,Desenvolvedor(a) Full-stack sênior,Senior(Mais de 6 anos de experiência),,,
158,Back-end,Desenvolvedor(a) Back-end pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 6.000,00"
159,Front-end,Desenvolvedor(a) Front-end pleno React,Junior - Pleno(2 a 4 anos de experiência),,,
160,Full-stack,Desenvolvedor(a) Full-stack Ruby on Rails júnior (remoto),Junior(0 a 2 anos de experiência),,,
161,Mobile,Desenvolvedor(a) Mobile React (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
162,Back-end,Desenvolvedor(a) Java Back-end sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 10.000,00 "," 12.000,00"
163,Back-end,Desenvolvedor(a) Java Back-end pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
164,Back-end,Desenvolvedor(a) Back-end pleno Java (13),Junior - Pleno(2 a 4 anos de experiência),,,
165,Front-end,Desenvolvedor(a) Front-end .NET,Pleno - Senior(4 a 6 anos de experiência),,,
166,Back-end,Desenvolvedor(a) Back-end Node.js Pleno (Remoto),Pleno - Senior(4 a 6 anos de experiência),,,
167,Front-end,Desenvolvedor(a) Front-end React Sênior (Remoto),Senior(Mais de 6 anos de experiência),CLT," 12.000,00 "," 12.000,00"
168,Back-end,Desenvolvedor(a) Back-end .NET Pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.200,00 "," 7.000,00"
169,Mobile,Desenvolvedor(a) Mobile Swift (iOS) (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
